timestamp,open,high,low,close,volume
2025-05-06 15:11:00,2.1027,2.1055,2.1023,2.1051,108103.0
2025-05-06 15:12:00,2.1051,2.1062,2.1043,2.1061,107187.0
2025-05-06 15:13:00,2.1061,2.1084,2.1057,2.1082,26281.0
2025-05-06 15:14:00,2.1082,2.1094,2.1071,2.1094,363630.0
2025-05-06 15:15:00,2.1094,2.1099,2.1074,2.1077,36735.0
2025-05-06 15:16:00,2.1077,2.109,2.1068,2.1086,44883.0
2025-05-06 15:17:00,2.1086,2.109,2.1052,2.109,50399.0
2025-05-06 15:18:00,2.109,2.1116,2.1088,2.1101,48447.0
2025-05-06 15:19:00,2.1102,2.1127,2.1102,2.1123,101401.0
2025-05-06 15:20:00,2.1124,2.1136,2.1124,2.1135,68169.0
2025-05-06 15:21:00,2.1136,2.116,2.1115,2.1117,184062.0
2025-05-06 15:22:00,2.1117,2.113,2.1117,2.1118,78123.0
2025-05-06 15:23:00,2.1118,2.1143,2.1118,2.1143,62187.0
2025-05-06 15:24:00,2.1143,2.1159,2.1139,2.1159,173676.0
2025-05-06 15:25:00,2.1158,2.1165,2.1149,2.116,83344.0
2025-05-06 15:26:00,2.116,2.1167,2.1142,2.1167,212717.0
2025-05-06 15:27:00,2.1166,2.1167,2.1149,2.1149,120090.0
2025-05-06 15:28:00,2.1147,2.1156,2.1142,2.1154,23483.0
2025-05-06 15:29:00,2.1153,2.116,2.115,2.1155,31969.0
2025-05-06 15:30:00,2.1155,2.1182,2.1151,2.1169,212790.0
2025-05-06 15:31:00,2.117,2.1178,2.1144,2.1145,121327.0
2025-05-06 15:32:00,2.1144,2.1154,2.1141,2.1151,119908.0
2025-05-06 15:33:00,2.1151,2.1186,2.1141,2.1179,327943.0
2025-05-06 15:34:00,2.1179,2.1202,2.1173,2.1192,257807.0
2025-05-06 15:35:00,2.1192,2.1201,2.1182,2.1184,261645.0
2025-05-06 15:36:00,2.1183,2.1198,2.118,2.1196,186102.0
2025-05-06 15:37:00,2.1195,2.1196,2.1167,2.1176,116170.0
2025-05-06 15:38:00,2.1176,2.1188,2.1174,2.1176,42740.0
